,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025
11,LT,BAMLANIVIMAB vs All others,99,2646,2158,29627,0.5136669125481518,0.10476680808158216,0.4183138890634289,0.6307552867477046,-0.5923695362859306,-0.9252127372831751
12,OT,BAMLANIVIMAB vs All others,647,2098,15279,16506,0.33315451758399584,0.04634946404129758,0.30422314130741673,0.36483724449636107,-0.6709368924730982,-0.8007445651204892
13,RI,BAMLANIVIMAB vs All others,6,2739,658,31127,0.10362644277025204,0.4105893894219837,0.046341474287974485,0.23172416946611743,-2.103860270548437,-3.51891361485318
14,CA,BAMLANIVIMAB+ETESEVIMAB vs All others,1,1253,20,33256,1.3270550678371908,1.025099094897081,0.17795368244821835,9.89625574949715,0.1722594051979222,-3.6108414197672083
15,DE,BAMLANIVIMAB+ETESEVIMAB vs All others,54,1200,5161,28115,0.24514144545630692,0.13993277297663265,0.18633891462696342,0.3225001519447071,-1.2482401834146506,-1.7002194904600918
16,DS,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,200,33076,0.0,inf,0.0,,-2.7425481575749147,-13.066307162898507
17,HO,BAMLANIVIMAB+ETESEVIMAB vs All others,411,843,9791,23485,1.169439506322714,0.06135181031236106,1.036940998599574,1.3188684416907914,0.10361140694947563,-0.059306259950942464
18,LT,BAMLANIVIMAB+ETESEVIMAB vs All others,63,1191,2194,31082,0.7493783136513826,0.13115108810658285,0.5795128373363166,0.9690343695442376,-0.2613433788725312,-0.6794166877763972
19,OT,BAMLANIVIMAB+ETESEVIMAB vs All others,359,895,15567,17709,0.4563105667231176,0.06343138554052143,0.4029643632630961,0.5167189763806135,-0.4763681477042633,-0.6507077409668034
20,RI,BAMLANIVIMAB+ETESEVIMAB vs All others,139,1115,525,32751,7.776876361306854,0.10013191756104765,6.391034847057204,9.463225813406678,1.7347497086747283,1.4541355690401376
21,CA,SOTROVIMAB vs All others,2,1448,19,33061,2.403387612678104,0.7438766253896791,0.5592722251749729,10.32819395772319,0.5928734294068388,-2.000194251931232
22,DE,SOTROVIMAB vs All others,74,1376,5141,27939,0.2922648181740047,0.12029366004545637,0.23087691410454586,0.36997516305854916,-1.0805108861755786,-1.4659488728364956
23,DS,SOTROVIMAB vs All others,2,1448,198,32882,0.22937942965567273,0.7111761557875456,0.05691006786601709,0.9245274996514254,-1.2695913241574293,-3.8626590054955
24,HO,SOTROVIMAB vs All others,217,1233,9985,23095,0.4070676168348224,0.0745840102152048,0.35170566483225896,0.4711440879253736,-0.6790416863900071,-0.9034261492548706
25,LT,SOTROVIMAB vs All others,36,1414,2221,30859,0.35374179985696524,0.17019883797945673,0.2534020975894284,0.4938130432084697,-0.9594762355690577,-1.5147657756203452
26,OT,SOTROVIMAB vs All others,274,1176,15652,17428,0.25943045247743873,0.06797973008022927,0.22706774063572768,0.2964056430218371,-0.891239416419904,-1.0908578184713926
27,RI,SOTROVIMAB vs All others,27,1423,637,32443,0.9663633224520687,0.1983442959313848,0.6550981381667099,1.4255239277492069,-0.03160437992129609,-0.6747582355760501
28,CA,TOCILIZUMAB vs All others,1,2783,20,31726,0.5699964067553001,1.0248857713711546,0.07646659241420732,4.248860756787019,-0.37986755872193223,-4.162968383687063
29,DE,TOCILIZUMAB vs All others,807,1977,4408,27338,2.531582114461498,0.044815328203551774,2.318699355172913,2.7640099126966873,0.6513999955705747,0.5351833041679315
30,DS,TOCILIZUMAB vs All others,9,2775,191,31555,0.5358143483797934,0.3416705493080904,0.27427011980309773,1.0467673844156753,-0.5596223203180766,-1.6985874560466934
31,HO,TOCILIZUMAB vs All others,672,2112,9530,22216,0.7417342363827149,0.045951327341468146,0.6778502581950435,0.8116389582667153,-0.2020048652485787,-0.3293724776738598
32,LT,TOCILIZUMAB vs All others,130,2654,2127,29619,0.6820957375460092,0.09259052489842143,0.5688931306123068,0.8178242452632094,-0.3352226908820974,-0.6254384159230116
33,OT,TOCILIZUMAB vs All others,1004,1780,14922,16824,0.6359396954048694,0.04103983103401998,0.5867892177683287,0.6892071018784596,-0.24591263907980782,-0.3500966132706219
34,RI,TOCILIZUMAB vs All others,12,2772,652,31094,0.20645101319947945,0.29199312760887863,0.11648431513762428,0.3659035192912834,-1.463910013063424,-2.4425457982256056
35,CA,BEBTELOVIMAB vs All others,0,243,21,34266,0.0,inf,0.0,,-0.25895003520944415,-10.582709040533038
36,DE,BEBTELOVIMAB vs All others,5,238,5210,29077,0.11724785883643286,0.4521371591622749,0.048332359906233587,0.2844276676826426,-1.911555998009709,-3.4737357923971817
